cancer_type,locus,stratum,n_intype,n_rest,chi2,dof,p,fdr
Non-Small Cell Lung Cancer,A,nonASJ-EUR,3502,22827,62.84955694885859,34,0.0018789001602049409,0.04482682748635929
Non-Small Cell Lung Cancer,A,AFR,221,2012,22.63080556305296,27,0.7046783060043587,0.9706307115973359
Non-Small Cell Lung Cancer,A,EAS,472,2006,35.548069290488115,23,0.04584590672637159,0.32268465118946155
Non-Small Cell Lung Cancer,B,nonASJ-EUR,3502,22827,98.64745127503035,61,0.0016238309865338396,0.04482682748635929
Non-Small Cell Lung Cancer,B,AFR,221,2012,45.07664015222955,40,0.2679329336253472,0.7908343040877184
Non-Small Cell Lung Cancer,B,EAS,472,2006,38.87353564615223,43,0.6508066321110229,0.9682732819212779
Non-Small Cell Lung Cancer,C,nonASJ-EUR,3502,22827,53.02850136607555,30,0.00588736504068024,0.09794434567677127
Non-Small Cell Lung Cancer,C,AFR,221,2012,21.453447653045362,23,0.5534170563228272,0.9281626763357194
Non-Small Cell Lung Cancer,C,EAS,472,2006,23.953235706469535,23,0.4064017859716486,0.8960424919615867
Breast Cancer,A,nonASJ-EUR,3006,23323,32.16228951498921,34,0.5579119912400499,0.9281626763357194
Breast Cancer,A,AFR,429,1804,26.484034542788947,27,0.49187982848737577,0.909486920053654
Breast Cancer,A,EAS,286,2192,47.26893572072543,23,0.0020728138790127152,0.04482682748635929
Breast Cancer,B,nonASJ-EUR,3006,23323,65.30580300850906,61,0.3295794579971504,0.8421908261217773
Breast Cancer,B,AFR,429,1804,26.409972621774084,40,0.9514957145875673,0.995521285203294
Breast Cancer,B,EAS,286,2192,82.55649265134468,43,0.0002700890944593651,0.02385537189757248
Breast Cancer,C,nonASJ-EUR,3006,23323,37.95520180039522,30,0.15090314291995996,0.6613649785272052
Breast Cancer,C,AFR,429,1804,28.21015278279371,23,0.20793889786262004,0.7233572498173044
Breast Cancer,C,EAS,286,2192,52.79188612565193,23,0.0003910716704520079,0.02385537189757248
Colorectal Cancer,A,nonASJ-EUR,2777,23552,41.7662458982618,34,0.16906333665503692,0.6746427495687609
Colorectal Cancer,A,AFR,259,1974,26.89864221158691,27,0.46927370596942597,0.909486920053654
Colorectal Cancer,A,EAS,297,2181,23.678657718587985,23,0.42177694721422826,0.9090430893678437
Colorectal Cancer,B,nonASJ-EUR,2777,23552,56.24546456617734,61,0.6485365560308113,0.9682732819212779
Colorectal Cancer,B,AFR,259,1974,26.56697111289859,40,0.9491167250875183,0.995521285203294
Colorectal Cancer,B,EAS,297,2181,46.86573391675686,43,0.3168863363330843,0.8356193806852205
Colorectal Cancer,C,nonASJ-EUR,2777,23552,48.48575760041048,30,0.01772164864123426,0.18017009451921498
Colorectal Cancer,C,AFR,259,1974,18.84930827112212,23,0.7099355588840119,0.9706307115973359
Colorectal Cancer,C,EAS,297,2181,16.42138262344968,23,0.8366454176677767,0.995521285203294
Prostate Cancer,A,nonASJ-EUR,1698,24631,60.869169773048526,34,0.003115827951689221,0.05701965151591275
Prostate Cancer,A,AFR,188,2045,22.325130897277848,27,0.720678255721265,0.9706307115973359
Prostate Cancer,A,EAS,52,2426,21.262846968921565,23,0.5650393894115682,0.9306626715435653
Prostate Cancer,B,nonASJ-EUR,1698,24631,81.33846665175963,61,0.04199248761528074,0.3201927180665156
Prostate Cancer,B,AFR,188,2045,58.94305097990546,40,0.027081866044168495,0.22527188573103796
Prostate Cancer,B,EAS,52,2426,28.966467107267903,43,0.9499745818891601,0.995521285203294
Prostate Cancer,C,nonASJ-EUR,1698,24631,29.161957156068596,30,0.5091008617084009,0.9224302741845284
Prostate Cancer,C,AFR,188,2045,18.734189940594934,23,0.7165401587258478,0.9706307115973359
Prostate Cancer,C,EAS,52,2426,14.35519976827912,23,0.9162465464281009,0.995521285203294
Pancreatic Cancer,A,nonASJ-EUR,1472,24857,34.50620584971322,34,0.4435630134612026,0.909486920053654
Pancreatic Cancer,A,AFR,99,2134,33.01803322626229,27,0.19647553503707266,0.7050004492506725
Pancreatic Cancer,A,EAS,144,2334,37.178349764711655,23,0.031141949631788318,0.2477815992442288
Pancreatic Cancer,B,nonASJ-EUR,1472,24857,42.179273245471116,61,0.9683792970504246,0.995521285203294
Pancreatic Cancer,B,AFR,99,2134,52.38537400103365,40,0.09077713038842529,0.5605051649567452
Pancreatic Cancer,B,EAS,144,2334,44.09265133574478,43,0.4251807715446457,0.9090430893678437
Pancreatic Cancer,C,nonASJ-EUR,1472,24857,14.910001501634724,30,0.9902384205962349,0.995521285203294
Pancreatic Cancer,C,AFR,99,2134,21.459477370387162,23,0.5530497108172409,0.9281626763357194
Pancreatic Cancer,C,EAS,144,2334,26.137800842575356,23,0.2944040672124647,0.8163021863618339
Endometrial Cancer,A,nonASJ-EUR,1196,25133,33.66799878013831,34,0.48379576879321173,0.909486920053654
Endometrial Cancer,A,AFR,204,2029,23.987498355082497,27,0.6310094843377566,0.9622894636150789
Endometrial Cancer,A,EAS,131,2347,23.296892821908234,23,0.44354985888631454,0.909486920053654
Endometrial Cancer,B,nonASJ-EUR,1196,25133,47.93102684997703,61,0.8885009669874935,0.995521285203294
Endometrial Cancer,B,AFR,204,2029,48.419995969111405,40,0.169582330492694,0.6746427495687609
Endometrial Cancer,B,EAS,131,2347,39.45085742089588,43,0.6260119945727386,0.9622894636150789
Endometrial Cancer,C,nonASJ-EUR,1196,25133,32.4971010785102,30,0.3447761424555893,0.8421908261217773
Endometrial Cancer,C,AFR,204,2029,29.83367299138256,23,0.1542361656269399,0.6613649785272052
Endometrial Cancer,C,EAS,131,2347,23.58282766674652,23,0.42720057751712875,0.9090430893678437
Soft Tissue Sarcoma,A,nonASJ-EUR,1083,25246,38.15945714267279,34,0.28591458886503546,0.8163021863618339
Soft Tissue Sarcoma,A,AFR,94,2139,22.137504721955906,27,0.7303573974366899,0.9706307115973359
Soft Tissue Sarcoma,A,EAS,107,2371,31.871971335174543,23,0.10283539973876961,0.6070605855546722
Soft Tissue Sarcoma,B,nonASJ-EUR,1083,25246,73.90574438870287,61,0.12418522786427694,0.6493113342617909
Soft Tissue Sarcoma,B,AFR,94,2139,37.255314800000946,40,0.5944947882932403,0.9460221413709824
Soft Tissue Sarcoma,B,EAS,107,2371,53.91880486007161,43,0.1228450220836406,0.6493113342617909
Soft Tissue Sarcoma,C,nonASJ-EUR,1083,25246,36.92080140831465,30,0.1794634507404052,0.6765972722657698
Soft Tissue Sarcoma,C,AFR,94,2139,22.615525091924518,23,0.48340027885105075,0.909486920053654
Soft Tissue Sarcoma,C,EAS,107,2371,25.23179553136673,23,0.33844570979099253,0.8421908261217773
Ovarian Cancer,A,nonASJ-EUR,1119,25210,41.38908527045032,34,0.17933624499203635,0.6765972722657698
Ovarian Cancer,A,AFR,80,2153,44.20344003428167,27,0.01969942829035508,0.1897365987965779
Ovarian Cancer,A,EAS,128,2350,24.69170501495354,23,0.3663745326911058,0.859571019006056
Ovarian Cancer,B,nonASJ-EUR,1119,25210,64.80921677295922,61,0.3453005969537558,0.8421908261217773
Ovarian Cancer,B,AFR,80,2153,38.08823252160774,40,0.5565874460645764,0.9281626763357194
Ovarian Cancer,B,EAS,128,2350,34.19881677225909,43,0.8288347483441013,0.995521285203294
Ovarian Cancer,C,nonASJ-EUR,1119,25210,29.378787083575197,30,0.49777001664809617,0.9109191304660159
Ovarian Cancer,C,AFR,80,2153,21.42045762705276,23,0.5554272978594148,0.9281626763357194
Ovarian Cancer,C,EAS,128,2350,24.118855854011525,23,0.3972514723093563,0.8865490174708806
Glioma,A,nonASJ-EUR,1258,25071,34.56266231359547,34,0.44089268997572095,0.909486920053654
Glioma,A,AFR,52,2181,22.673621675775458,27,0.7024158234817053,0.9706307115973359
Glioma,A,EAS,60,2418,18.414044274462295,23,0.7346596431674433,0.9706307115973359
Glioma,B,nonASJ-EUR,1258,25071,73.1248170916265,61,0.13744244821745755,0.6613649785272052
Glioma,B,AFR,52,2181,38.814634175078496,40,0.5235447557011289,0.9281626763357194
Glioma,B,EAS,60,2418,37.43686486657207,43,0.7105988004398245,0.9706307115973359
Glioma,C,nonASJ-EUR,1258,25071,24.523047220177812,30,0.747863007296308,0.9706307115973359
Glioma,C,AFR,52,2181,32.803359327929115,23,0.08455480185050934,0.5526260263801146
Glioma,C,EAS,60,2418,14.459269787603953,23,0.9129613564159884,0.995521285203294
Bladder Cancer,A,nonASJ-EUR,1228,25101,26.93415018809002,34,0.8001632828173272,0.9915970241839676
Bladder Cancer,A,AFR,45,2188,35.276788087489464,27,0.13199219773328544,0.6613649785272052
Bladder Cancer,A,EAS,51,2427,18.266410771004658,23,0.7428825160618822,0.9706307115973359
Bladder Cancer,B,nonASJ-EUR,1228,25101,67.59667501068083,61,0.2621115191367758,0.7863345574103273
Bladder Cancer,B,AFR,45,2188,35.83624100722715,40,0.6581595131112054,0.9706307115973359
Bladder Cancer,B,EAS,51,2427,38.03671766169705,43,0.6860284937216836,0.9706307115973359
